intent,mensaje,enlaces,frases
alertas_meteorologicas,"Estoy viendo en noticias que hay alerta naranja, ¿es cierto eso?",["https://www.coen.gob.pe/alertas/";"https://www.senamhi.gob.pe/"],["alerta naranja";"confirmación oficial";"situación actual"]
plan_emergencia,"¿Cuáles son los pasos para organizar un plan de emergencia en mi familia?",["https://www.gob.pe/indeci";"https://www.gob.pe/indeci/preparados"],["plan familiar";"roles de emergencia";"simulacro doméstico"]
reportar_evento,"Hay una calle completamente inundada cerca, ¿a quién informo?",["https://www.defensacivil.gob.pe/contacto";"https://www.gob.pe/119"],["calle inundada";"reporte ciudadano";"emergencia"]
refugios_cercanos,"¿Hay algún albergue habilitado por Defensa Civil?",["https://www.gob.pe/indeci/refugios";"https://www.coen.gob.pe/zonas-seguras"],["albergue";"centro de evacuación";"zona segura"]
rutas_evacuacion,"Necesito saber cómo evacuar si hay riesgo de desborde",["https://www.gob.pe/indeci/evacuacion";"https://www.senamhi.gob.pe/alertas"],["evacuación";"desborde de río";"vías seguras"]
intencion_desconocida,"Si el cielo está triste, ¿debo quedarme en casa a llorar con él?",["https://www.gob.pe/convivencia-escolar"],["sin intención clara";"mensaje poético";"ambiguo"]
lenguaje_inapropiado,"No me j***, otra alerta más",["https://www.gob.pe/bicentenario/respeto";"https://www.gob.pe/minedu/manual-convivencia"],["lenguaje ofensivo";"respeto digital";"uso adecuado de la comunicación"]
alertas_meteorologicas,"¿Han emitido una alerta por vientos intensos en la costa central?",["https://www.senamhi.gob.pe/";"https://www.coen.gob.pe/alertas"],["alerta vigente";"vientos intensos";"zona costera"]
calidad_del_aire,"¿Cómo me afecta el smog si tengo asma y quiero salir hoy?",["https://www.minsa.gob.pe/";"https://www.senamhi.gob.pe/"],["contaminación del aire";"asma";"prevención respiratoria"]
plan_emergencia,"¿Qué documentos debo guardar en caso tenga que evacuar por un sismo?",["https://www.indeci.gob.pe/preparados/mochila/";"https://www.gob.pe/indeci"],["documentos importantes";"evacuación";"emergencia sísmica"]
rutas_evacuacion,"Mi zona está cerca de un río, ¿cómo planifico una evacuación en época de lluvias?",["https://www.indeci.gob.pe/plan-familiar";"https://www.coen.gob.pe/"],["evacuación fluvial";"riesgo por lluvias";"zonas altas"]
refugios_cercanos,"¿Dónde puedo consultar albergues seguros si hay un ciclón amazónico?",["https://www.indeci.gob.pe/refugios";"https://www.defensacivil.gob.pe/zonas-seguras"],["ciclón en selva";"refugio temporal";"evacuación organizada"]
explicar_tipo_desastre,"¿Qué diferencia hay entre una inundación pluvial y fluvial?",["https://www.senamhi.gob.pe/";"https://www.gob.pe/indeci/tipos-de-riesgo"],["inundación pluvial";"inundación fluvial";"diferencias"]
recomendar_medidas,"¿Qué puedo hacer antes de que lleguen lluvias torrenciales?",["https://www.indeci.gob.pe/preparados";"https://www.senamhi.gob.pe/alertas"],["prevención de lluvias";"protocolo de protección";"emergencia pluvial"]
reportar_evento,"Acaba de caer granizo en mi barrio y dañó techos. ¿A quién aviso?",["https://www.gob.pe/119";"https://www.indeci.gob.pe/reporte"],["caída de granizo";"daños materiales";"reporte ciudadano"]
simulacro_fecha,"¿Participar en simulacros escolares es obligatorio en Perú?",["https://www.gob.pe/minedu/seguridad";"https://www.gob.pe/indeci/simulacros-escolares"],["simulacro escolar";"participación ciudadana";"seguridad educativa"]
obtener_pronostico,"¿Cómo estará el clima esta semana en general?",["https://www.senamhi.gob.pe/"],["pronóstico semanal";"clima extendido";"condiciones atmosféricas"]
alertas_meteorologicas,"¿Se espera algún fenómeno del Niño que genere lluvias intensas?",["https://www.imarpe.gob.pe/";"https://www.coen.gob.pe/fenomeno-nino"],["fenómeno del Niño";"lluvias intensas";"alerta climática"]
ayuda,"No entiendo las categorías de alerta: amarilla, naranja y roja. ¿Dónde puedo aprender más?",["https://www.gob.pe/indeci/niveles-de-alerta";"https://www.coen.gob.pe/alertas/"],["categorías de alerta";"alerta amarilla";"nivel de riesgo"]
lenguaje_inapropiado,"No entiendo por qué c*** hay tantas alertas",["https://www.gob.pe/convivencia-escolar";"https://www.gob.pe/bicentenario/respeto"],["lenguaje ofensivo";"canal de respeto";"uso correcto del lenguaje"]
plan_emergencia,"¿Los adultos mayores deben tener algún protocolo especial durante emergencias?",["https://www.minsa.gob.pe/adultosmayores";"https://www.indeci.gob.pe/personas-vulnerables"],["emergencia para adultos mayores";"protección diferenciada";"vulnerabilidad"]
rutas_evacuacion,"¿Cómo actúo si hay humo por incendio forestal y debo evacuar?",["https://www.gob.pe/indeci/incendios";"https://www.senamhi.gob.pe/calidad-aire"],["evacuación por humo";"incendio forestal";"aire contaminado"]
calidad_del_aire,"¿Dónde reviso el índice de partículas PM2.5 y qué significa?",["https://www.senamhi.gob.pe/";"https://www.digesa.minsa.gob.pe/"],["PM2.5";"material particulado";"riesgo respiratorio"]
refugios_cercanos,"¿Se habilitan estadios o colegios como refugios tras un sismo fuerte?",["https://www.indeci.gob.pe/albergues";"https://www.gob.pe/indeci/zonas-seguras"],["albergue temporal";"infraestructura segura";"post-desastre"]
recomendar_medidas,"¿Debo cerrar ventanas o reforzarlas si se pronostican vientos de más de 60 km/h?",["https://www.indeci.gob.pe/vientos-fuertes";"https://www.senamhi.gob.pe/alertas"],["prevención por vientos";"seguridad en casa";"reforzar ventanas"]
explicar_tipo_desastre,"¿Qué significa una tormenta convectiva y cómo me preparo?",["https://www.senamhi.gob.pe/";"https://www.coen.gob.pe/"],["tormenta convectiva";"formación rápida";"precaución climática"]
obtener_pronostico,"Necesito saber si el fin de semana hará buen tiempo para un evento al aire libre",["https://www.senamhi.gob.pe/"],["clima de fin de semana";"evento al aire libre";"pronóstico extendido"]
saludo,"Hola, ¿me puedes ayudar?",[],[]
saludo,"Buenas tardes, estoy buscando información sobre clima.",[],[]
despedida,"Gracias por la info, eso era todo por ahora.",[],[]
despedida,"Nos vemos, cuídate.",[],[]
agradecimiento,"Muchas gracias, fue muy útil.",[],[]
agradecimiento,"Qué buen bot, gracias.",[],[]
intencion_desconocida,"¿Cuántos suspiros caben en una tormenta?",[],[]
intencion_desconocida,"El clima interno de mi alma es nublado hoy.",[],[]
ayuda,"¿Cómo puedo saber si estoy preparado para una emergencia?",["https://www.gob.pe/indeci/preparados"],["estado de preparación";"emergencia familiar";"evaluación preventiva"]
obtener_pronostico,"¿Puedes decirme cómo estará el clima el martes?",["https://www.senamhi.gob.pe/"],["pronóstico diario";"condiciones meteorológicas";"clima"]
recomendar_medidas,"Tengo niños en casa, ¿qué medidas debo tomar ante una alerta?",["https://www.indeci.gob.pe/familia";"https://www.minsa.gob.pe/"],["niños y emergencias";"prevención familiar";"alerta y protección"]
lenguaje_inapropiado,"Este servicio es una porquería",["https://www.gob.pe/convivencia-escolar"],["lenguaje inapropiado";"conducta digital";"comunicación respetuosa"]
intencion_desconocida,"¿Dónde viven los truenos cuando no llueve?",[],[]
saludo,"¡Ey! ¿Estás por aquí?",[],[]
despedida,"Cierro sesión, hasta la próxima.",[],[]
ayuda,"¿Qué temas manejas? No sé por dónde empezar.",["https://www.gob.pe/indeci";"https://www.senamhi.gob.pe/"],["temas disponibles";"clima y emergencia";"ayuda inicial"]
refugios_cercanos,"¿Qué hago si mi casa ya no es segura por lluvias?",["https://www.indeci.gob.pe/refugios"],["zona de emergencia";"resguardo temporal";"desplazamiento preventivo"]
reportar_evento,"Se cayó un poste por el viento. ¿Debo reportarlo a algún lado?",["https://www.gob.pe/119";"https://www.indeci.gob.pe/contacto"],["postes caídos";"reporte de riesgo";"vientos peligrosos"]
intencion_desconocida,"¿Puedes predecir si mañana seré feliz?",[],[]
lenguaje_inapropiado,"Esto es una m****, como siempre.",["https://www.gob.pe/minedu/manual-convivencia"],["lenguaje ofensivo";"uso inapropiado";"comunicación digital"]
obtener_pronostico,"¿Cómo será el clima en los próximos tres días?",["https://www.senamhi.gob.pe/"],["pronóstico extendido";"temperatura";"condiciones del tiempo"]
alertas_meteorologicas,"¿Existen alertas por granizadas actualmente?",["https://www.coen.gob.pe/alertas";"https://www.senamhi.gob.pe/"],["granizo";"fenómeno extremo";"alerta activa"]
plan_emergencia,"¿Debo incluir medicamentos específicos en mi mochila de emergencia?",["https://www.gob.pe/indeci/mochila";"https://www.minsa.gob.pe/"],["medicamentos esenciales";"emergencia médica";"botiquín"]
rutas_evacuacion,"¿Qué hago si no conozco rutas seguras en mi zona?",["https://www.gob.pe/indeci/evacuacion";"https://www.defensacivil.gob.pe/zonas-seguras"],["plan de evacuación";"zona peligrosa";"mapas preventivos"]
refugios_cercanos,"¿Dónde encuentro una zona de resguardo si estoy en un campamento?",["https://www.indeci.gob.pe/refugios"],["zona segura";"refugio temporal";"emergencia en asentamiento"]
explicar_tipo_desastre,"¿Qué es un aluvión y cómo se diferencia de un huaico?",["https://www.gob.pe/indeci";"https://www.senamhi.gob.pe/"],["aluvión";"huaico";"tipos de desastres"]
recomendar_medidas,"¿Qué debo hacer si vivo cerca de una quebrada y hay alerta de lluvias?",["https://www.indeci.gob.pe/alertas";"https://www.coen.gob.pe/"],["precaución por lluvias";"quebradas activas";"evacuación preventiva"]
reportar_evento,"Hay árboles caídos en la vía por el viento. ¿Cómo lo reporto?",["https://www.gob.pe/119";"https://www.indeci.gob.pe/contacto"],["reporte de daños";"vientos fuertes";"obstáculo vial"]
simulacro_fecha,"¿Dónde puedo inscribirme para participar como voluntario en un simulacro?",["https://www.indeci.gob.pe/simulacros";"https://www.gob.pe/indeci"],["voluntario de emergencia";"participación ciudadana";"simulacro nacional"]
ayuda,"¿Puedes explicarme qué significan las señales en las zonas de riesgo?",["https://www.indeci.gob.pe/senales";"https://www.gob.pe/indeci"],["señalización preventiva";"zonas de evacuación";"interpretación de símbolos"]
intencion_desconocida,"¿Puede llover en mis pensamientos si estoy triste?",[],[]
lenguaje_inapropiado,"Maldito bot, nunca sirves para nada",["https://www.gob.pe/convivencia-escolar";"https://www.gob.pe/minedu/manual-convivencia"],["respeto digital";"uso responsable del lenguaje";"educación emocional"]
saludo,"Hola desde Arequipa, ¿qué novedades tienes hoy?",[],[]
despedida,"Eso es todo por ahora. Gracias por tu apoyo.",[],[]
agradecimiento,"Qué útil esta información, se aprecia mucho.",[],[]
calidad_del_aire,"Soy deportista, ¿cómo sé si es seguro salir a correr hoy?",["https://www.senamhi.gob.pe/";"https://www.minsa.gob.pe/aire-salud"],["actividad física";"aire contaminado";"riesgo respiratorio"]
obtener_pronostico,"Quisiera saber si habrá neblina esta madrugada.",["https://www.senamhi.gob.pe/"],["neblina";"visibilidad reducida";"clima nocturno"]
alertas_meteorologicas,"¿Hay pronóstico de tormenta eléctrica esta semana?",["https://www.coen.gob.pe/alertas";"https://www.senamhi.gob.pe/"],["tormenta eléctrica";"alerta climática";"descargas atmosféricas"]
explicar_tipo_desastre,"¿Qué es una sequía prolongada y cómo afecta?",["https://www.gob.pe/indeci";"https://www.senamhi.gob.pe/"],["sequía";"escasez de agua";"evento climático"]
plan_emergencia,"¿Cómo protejo a mis mascotas durante una evacuación?",["https://www.indeci.gob.pe/mascotas";"https://www.gob.pe/indeci"],["emergencias con animales";"evacuación con mascotas";"plan familiar completo"]
obtener_pronostico,"¿Tendremos sol el fin de semana?",["https://www.senamhi.gob.pe/"],["pronóstico de fin de semana";"tiempo soleado";"clima recreativo"]
alertas_meteorologicas,"¿Emitieron una alerta por altas temperaturas?",["https://www.coen.gob.pe/alertas";"https://www.senamhi.gob.pe/"],["ola de calor";"alerta por temperatura";"riesgo térmico"]
refugios_cercanos,"¿Hay refugios disponibles en la zona andina para comunidades quechuas?",["https://www.indeci.gob.pe/refugios";"https://www.gob.pe/indeci"],["refugios en zonas altoandinas";"seguridad comunitaria";"poblaciones indígenas"]
plan_emergencia,"¿Cómo se adapta un plan de emergencia para personas con discapacidad?",["https://www.gob.pe/conadisper";"https://www.indeci.gob.pe/plan-familiar"],["emergencia accesible";"personas vulnerables";"inclusión en desastres"]
reportar_evento,"Estoy en una zona rural sin señal, ¿cómo reporto una emergencia?",["https://www.indeci.gob.pe/contacto";"https://www.gob.pe/119"],["reporte de emergencia remota";"comunicación alternativa";"zonas sin cobertura"]
explicar_tipo_desastre,"¿Qué es un incendio de interfaz y cómo lo prevengo?",["https://www.indeci.gob.pe/incendios";"https://www.gob.pe/indeci"],["incendio forestal urbano";"prevención de fuegos";"riesgo de interfaz"]
recomendar_medidas,"¿Qué hacer si hay alerta por tormenta eléctrica y estoy al aire libre?",["https://www.senamhi.gob.pe/alertas";"https://www.indeci.gob.pe/"],["tormenta eléctrica";"riesgo por rayos";"seguridad en exteriores"]
rutas_evacuacion,"¿Es posible evacuar si vivo cerca de una vía férrea y hay huaico?",["https://www.gob.pe/indeci/evacuacion";"https://www.coen.gob.pe/"],["evacuación ferroviaria";"huaico";"riesgo geográfico"]
calidad_del_aire,"Trabajo en obra. ¿Puedo usar mascarilla común si hay aire contaminado?",["https://www.minsa.gob.pe/";"https://www.senamhi.gob.pe/"],["protección respiratoria";"mascarilla";"calidad del aire"]
simulacro_fecha,"¿Qué pasa si no participo en el simulacro obligatorio del colegio?",["https://www.gob.pe/minedu/seguridad";"https://www.gob.pe/indeci/simulacros-escolares"],["participación escolar";"simulacro obligatorio";"regulación educativa"]
lenguaje_inapropiado,"Esto es un desastre inútil, no sirve p*****",["https://www.gob.pe/convivencia-escolar";"https://www.gob.pe/bicentenario/respeto"],["uso ofensivo";"lenguaje inapropiado";"comunicación digital"]
ayuda,"No entiendo si esto es solo para sismos o también para huaicos.",["https://www.gob.pe/indeci";"https://www.senamhi.gob.pe/"],["tipos de alerta";"emergencia múltiple";"fenómenos naturales"]
saludo,"¡Hola equipo, estoy listo para lo que venga!",[],[]
despedida,"Gracias por tu tiempo, cuídate mucho.",[],[]
agradecimiento,"Gracias por responder tan rápido, eso ayuda un montón.",[],[]
intencion_desconocida,"¿Puedo guardar mi tristeza en una nube digital y pronosticarla luego?",[],[]
obtener_pronostico,"kiero saver si ase frio oy xq estoy en la calle",["https://www.senamhi.gob.pe/"],["pronóstico actual";"temperatura baja";"clima de calle"]
intencion_desconocida,"Tengo una vaca, ¿puedo entrenarla para detectar terremotos?",[],[]
ayuda,"¿Este bot usa inteligencia artificial o solo busca en Google?",["https://www.gob.pe/indeci";"https://www.senamhi.gob.pe/"],["tecnología del bot";"información oficial";"fuente de datos"]
recomendar_medidas,"¿Qué hacer si se corta la luz durante una emergencia por lluvias?",["https://www.indeci.gob.pe/preparados";"https://www.gob.pe/indeci/mochila"],["emergencia eléctrica";"corte de suministro";"prevención en lluvias"]
obtener_pronostico,"¿Hoy estará nublado todo el día o se despeja en la tarde?",["https://www.senamhi.gob.pe/"],["nubes parciales";"clima cambiante";"pronóstico diario"]
alertas_meteorologicas,"¿Hay alerta por heladas en la sierra?",["https://www.coen.gob.pe/alertas";"https://www.senamhi.gob.pe/"],["heladas";"riesgo en zonas altas";"alerta por frío"]
plan_emergencia,"¿Puedo usar una app para organizar mi plan familiar?",["https://www.gob.pe/indeci/plan-familiar";"https://www.gob.pe/aplicativos-emergencia"],["plan digital";"app de emergencia";"organización familiar"]
rutas_evacuacion,"¿Qué pasa si las rutas están bloqueadas por huaicos?",["https://www.gob.pe/indeci/evacuacion";"https://www.coen.gob.pe/"],["bloqueo de vías";"evacuación alternativa";"emergencia vial"]
refugios_cercanos,"Estoy en la selva y necesito saber dónde refugiarme si hay desborde.",["https://www.indeci.gob.pe/refugios";"https://www.defensacivil.gob.pe/zonas-seguras"],["refugio por desborde";"zona amazónica";"resguardo seguro"]
explicar_tipo_desastre,"¿Qué causa un desborde de quebrada y por qué ocurre tan rápido?",["https://www.senamhi.gob.pe/";"https://www.gob.pe/indeci"],["desborde de quebrada";"lluvias intensas";"inundación súbita"]
recomendar_medidas,"Si vivo solo, ¿qué medidas de emergencia debo tomar?",["https://www.indeci.gob.pe/preparados";"https://www.gob.pe/indeci"],["plan individual";"autoprotección";"solicitar ayuda"]
reportar_evento,"Se activó una alarma en mi distrito, pero no encuentro información oficial.",["https://www.coen.gob.pe/alertas";"https://www.gob.pe/indeci/"],["verificación de alerta";"alarma comunitaria";"información oficial"]
calidad_del_aire,"Tengo alergias. ¿Debo evitar salir hoy si hay polvo en el ambiente?",["https://www.minsa.gob.pe/";"https://www.senamhi.gob.pe/calidad-aire"],["alergias";"polvo ambiental";"prevención respiratoria"]
simulacro_fecha,"¿Mi empresa está obligada a participar en simulacros laborales?",["https://www.gob.pe/sunafil";"https://www.indeci.gob.pe/simulacros"],["simulacro laboral";"prevención en el trabajo";"regulación empresarial"]
lenguaje_inapropiado,"Este bot me desespera, no dice nada útil nunca",["https://www.gob.pe/bicentenario/respeto"],["uso inadecuado";"lenguaje reactivo";"respeto en línea"]
saludo,"¡Qué tal! ¿Tú das información sobre clima también?",[],[]
despedida,"Cualquier cosa vuelvo a escribir. ¡Gracias y chau!",[],[]
agradecimiento,"Gracias por tomarte el tiempo de responder tan completo.",[],[]
intencion_desconocida,"¿Las nubes saben que las estamos observando desde abajo?",[],[]
obtener_pronostico,"toy planeando un paseo mañana, hará mucho sol?",["https://www.senamhi.gob.pe/"],["clima recreativo";"salida al aire libre";"pronóstico de sol"]
alertas_meteorologicas,"¿En qué nivel estamos por lluvias: verde o naranja?",["https://www.coen.gob.pe/alertas";"https://www.senamhi.gob.pe/"],["nivel de alerta";"escala de color";"precaución por lluvia"]
plan_emergencia,"¿Dónde guardo mis llaves y documentos para salir rápido si tiembla?",["https://www.gob.pe/indeci/mochila";"https://www.gob.pe/indeci/plan-familiar"],["documentos seguros";"salida rápida";"preparación sísmica"]
intencion_desconocida,"¿Puedes predecir si voy a tener un buen día?",[],[]
ayuda,"No sé si esto funciona por voz o solo por mensaje. ¿Cómo se usa?",["https://www.gob.pe/indeci";"https://www.senamhi.gob.pe/"],["cómo interactuar";"uso del asistente";"mensaje o voz"]
obtener_pronostico,"¿Cómo será el tiempo durante el feriado largo?",["https://www.senamhi.gob.pe/"],["clima en feriado";"pronóstico extendido";"condiciones atmosféricas"]
alertas_meteorologicas,"¿Está vigente una alerta por rayos en la selva?",["https://www.coen.gob.pe/alertas";"https://www.senamhi.gob.pe/"],["descargas eléctricas";"alerta vigente";"zonas amazónicas"]
plan_emergencia,"¿Hay manuales visuales para personas con discapacidad auditiva?",["https://www.gob.pe/conadisper";"https://www.indeci.gob.pe/inclusion"],["inclusión en emergencias";"comunicación accesible";"protocolos inclusivos"]
rutas_evacuacion,"¿Qué hago si tengo movilidad reducida durante una evacuación?",["https://www.indeci.gob.pe/plan-familiar";"https://www.gob.pe/conadisper"],["movilidad reducida";"evacuación accesible";"discapacidad física"]
refugios_cercanos,"¿Dónde resguardarse si el albergue oficial está lleno?",["https://www.indeci.gob.pe/refugios";"https://www.gob.pe/indeci"],["refugio alternativo";"ocupación de emergencia";"resguardo provisional"]
explicar_tipo_desastre,"¿Cuál es la diferencia entre lluvias normales y lluvias extremas?",["https://www.senamhi.gob.pe/";"https://www.gob.pe/indeci/tipos-de-riesgo"],["lluvias extremas";"precipitación intensa";"criterios meteorológicos"]
recomendar_medidas,"¿Qué debo hacer si tengo animales de granja durante una alerta?",["https://www.gob.pe/indeci/ganaderia";"https://www.senasa.gob.pe/"],["resguardo animal";"protocolos rurales";"emergencia pecuaria"]
reportar_evento,"Se han formado grietas en la pista tras el sismo. ¿A quién informo?",["https://www.indeci.gob.pe/reporte";"https://www.gob.pe/119"],["infraestructura dañada";"grietas en pistas";"post-sismo"]
calidad_del_aire,"Mi hijo es asmático. ¿Cómo saber si hoy es seguro salir?",["https://www.senamhi.gob.pe/calidad-aire";"https://www.minsa.gob.pe/"],["niños y asma";"alerta respiratoria";"índice de calidad del aire"]
simulacro_fecha,"¿Los simulacros deben hacerse también en centros de salud?",["https://www.gob.pe/minsa/seguridad";"https://www.indeci.gob.pe/simulacros"],["simulacro hospitalario";"prevención médica";"protocolos de salud"]
lenguaje_inapropiado,"Otra vez esta m****, dejen de molestar con notificaciones",["https://www.gob.pe/minedu/manual-convivencia"],["frustración digital";"lenguaje inapropiado";"alertas repetidas"]
saludo,"¡Hey! ¿Tú eres el asistente del clima, verdad?",[],[]
despedida,"Ya vengo más tarde. Gracias por la información.",[],[]
agradecimiento,"Muy útil todo lo que me diste. Se aprecia.",[],[]
intencion_desconocida,"¿Si lloro mucho, puedo provocar lluvias?",[],[]
obtener_pronostico,"Va a estar como para usar casaca o polo?",["https://www.senamhi.gob.pe/"],["temperatura estimada";"vestimenta recomendada";"pronóstico térmico"]
alertas_meteorologicas,"¿Cuánto dura una alerta naranja y qué implica?",["https://www.coen.gob.pe/alertas";"https://www.gob.pe/indeci/alertas"],["nivel naranja";"duración de alerta";"medidas preventivas"]
plan_emergencia,"¿Cómo organizar una evacuación en un edificio sin ascensor?",["https://www.gob.pe/indeci";"https://www.defensacivil.gob.pe/"],["evacuación vertical";"edificio sin ascensor";"acceso seguro"]
reportar_evento,"Se cayó el cableado en mi calle por la lluvia fuerte",["https://www.indeci.gob.pe/reporte";"https://www.gob.pe/osinergmin"],["caída de cables";"peligro eléctrico";"lluvia intensa"]
ayuda,"¿A qué hora actualizas la información climática?",["https://www.senamhi.gob.pe/"],["frecuencia de actualización";"datos meteorológicos";"fuente confiable"]
intencion_desconocida,"¿Por qué el viento sopla y mi corazón también?",[],[]
rutas_evacuacion,"¿Cuántas rutas de evacuación debo tener en casa?",["https://www.gob.pe/indeci/plan-familiar"],["evacuación doméstica";"salidas seguras";"planificación familiar"]
recomendar_medidas,"Si hay relámpagos, ¿me puedo proteger bajo un árbol?",["https://www.indeci.gob.pe/prevencion";"https://www.senamhi.gob.pe/"],["rayos y relámpagos";"lugares seguros";"riesgo de impacto"]
refugios_cercanos,"¿Puedo llevar a mi mascota al albergue?",["https://www.indeci.gob.pe/refugios";"https://www.gob.pe/indeci/mascotas"],["mascotas en refugio";"albergue amigable";"evacuación con animales"]
explicar_tipo_desastre,"¿Qué es una ola de calor y cómo me afecta?",["https://www.senamhi.gob.pe/";"https://www.gob.pe/indeci"],["ola de calor";"efectos en salud";"riesgo térmico"]
simulacro_fecha,"¿Hay simulacros nocturnos en Perú?",["https://www.indeci.gob.pe/simulacros";"https://www.gob.pe/indeci"],["simulacro nocturno";"prevención durante la noche";"horarios especiales"]
obtener_pronostico,"¿Hoy hará más frío que ayer?",["https://www.senamhi.gob.pe/"],["comparación climática";"temperatura diaria";"pronóstico actualizado"]
plan_emergencia,"¿Qué pasa si mi hijo pequeño se pierde durante un sismo?",["https://www.gob.pe/indeci/plan-familiar";"https://www.defensacivil.gob.pe/"],["plan familiar infantil";"identificación";"zona de encuentro"]
reportar_evento,"¿Cómo reporto a los bomberos si hay un árbol caído?",["https://www.gob.pe/116";"https://www.gob.pe/119"],["emergencia con árboles";"líneas de atención";"reportar peligro"]
lenguaje_inapropiado,"Ustedes solo sirven para poner miedo. Bot inútil.",["https://www.gob.pe/bicentenario/respeto";"https://www.gob.pe/minedu/manual-convivencia"],["crítica irrespetuosa";"uso responsable";"educación digital"]
agradecimiento,"Estuvo todo claro, gracias por tu orientación.",[],[]
saludo,"Hola nuevamente, ya tenemos actualización del clima?",[],[]
despedida,"Terminé por ahora, seguimos luego si pasa algo.",[],[]
intencion_desconocida,"¿Los arcoíris también tienen protocolos de evacuación?",[],[]
calidad_del_aire,"¿Hay más smog en invierno que en verano?",["https://www.senamhi.gob.pe/calidad-aire"],["contaminación estacional";"smog invernal";"calidad del aire"]
ayuda,"¿Puedes explicar en palabras simples qué es una alerta roja?",["https://www.coen.gob.pe/alertas";"https://www.gob.pe/indeci/alertas"],["alerta roja";"nivel máximo";"riesgo severo"]
alertas_meteorologicas,"¿Existen alertas por niebla densa?",["https://www.senamhi.gob.pe/alertas";"https://www.coen.gob.pe/"],["alerta por niebla";"visibilidad reducida";"riesgo vial"]
recomendar_medidas,"Si hay inundación, ¿puedo usar electrodomésticos?",["https://www.indeci.gob.pe/prevencion";"https://www.gob.pe/osinergmin"],["inundaciones";"riesgo eléctrico";"precaución con corriente"]
explicar_tipo_desastre,"¿Qué son las tormentas tropicales y llegan a Perú?",["https://www.gob.pe/indeci";"https://www.senamhi.gob.pe/"],["tormentas tropicales";"fenómeno climático";"afectación nacional"]
obtener_pronostico,"Va a llover fuerte como ayer o estará tranquilo?",["https://www.senamhi.gob.pe/"],["pronóstico comparativo";"intensidad de lluvia";"condiciones actuales"]
reportar_evento,"Se inundó el mercado municipal. ¿A quién aviso?",["https://www.indeci.gob.pe";"https://www.gob.pe/119"],["mercado inundado";"emergencia urbana";"comunicado oficial"]
rutas_evacuacion,"¿Y si vivo en un cuarto piso, cómo bajo sin ascensor?",["https://www.gob.pe/indeci/plan-familiar";"https://www.defensacivil.gob.pe/"],["evacuación vertical"]
calidad_del_aire,"¿La calidad del aire en Villa El Salvador es segura para personas con alergia?",["https://www.senamhi.gob.pe/";"https://www.minsa.gob.pe/portada/posta-villaelsalvador"],["calidad del aire en Villa El Salvador";"alergias respiratorias";"nivel de contaminación"]
alertas_meteorologicas,"¿Han activado alguna alerta por lluvias en Cusco?",["https://www.senamhi.gob.pe/alertas/region/cusco";"https://www.coen.gob.pe/cusco"],["alerta de lluvias en Cusco";"precaución en sierra sur";"eventos climáticos"]
