levelCode,levelName,description,regiones_afectadas,enlaces,frase,prompt
3,fuerte,"Se reporta lluvias intensas en la zona de Sierra. Esto podría causar huaicos, aumento del caudal de ríos, deslizamientos. Se recomienda tomar precauciones.",Sierra,"['https://www.gob.pe/temas/gestion-del-riesgo', 'https://www.essalud.gob.pe/heladas/recomendaciones']",cómo protegerse de lluvias intensas,"Genera recomendaciones para la población sobre 'cómo protegerse de lluvias intensas' considerando que se reporta lluvias intensas en la zona de sierra. esto podría causar huaicos, aumento del caudal de ríos, deslizamientos. se recomienda tomar precauciones."
1,sin peligro,"Se reporta lluvias intensas en la zona de Costa norte, Sierra. Esto podría causar aumento del caudal de ríos, deslizamientos, inundaciones, huaicos. Se recomienda tomar precauciones.","Costa norte, Sierra","['https://www.indeci.gob.pe/alertas', 'https://www.senamhi.gob.pe/Lima/vientos']",cómo protegerse de lluvias intensas,"Genera recomendaciones para la población sobre 'cómo protegerse de lluvias intensas' considerando que se reporta lluvias intensas en la zona de costa norte, sierra. esto podría causar aumento del caudal de ríos, deslizamientos, inundaciones, huaicos. se recomienda tomar precauciones."
4,extrema,Se reporta vientos fuertes en la zona de zonas costeras. Esto podría causar levantamiento de polvo. Se recomienda tomar precauciones.,zonas costeras,"['https://www.gob.pe/temas/gestion-del-riesgo', 'https://www.essalud.gob.pe/heladas/recomendaciones']",prevención ante vientos fuertes,Genera recomendaciones para la población sobre 'prevención ante vientos fuertes' considerando que se reporta vientos fuertes en la zona de zonas costeras. esto podría causar levantamiento de polvo. se recomienda tomar precauciones.
1,sin peligro,"Se reporta tormentas eléctricas en la zona de Sierra oriental, Selva. Esto podría causar incendios forestales, daños eléctricos. Se recomienda tomar precauciones.","Sierra oriental, Selva",['https://www.essalud.gob.pe/heladas/recomendaciones'],cómo actuar ante tormentas eléctricas,"Genera recomendaciones para la población sobre 'cómo actuar ante tormentas eléctricas' considerando que se reporta tormentas eléctricas en la zona de sierra oriental, selva. esto podría causar incendios forestales, daños eléctricos. se recomienda tomar precauciones."
3,fuerte,"Se reporta nevadas en la zona de zonas altoandinas, Sierra sur. Esto podría causar afectación a cultivos, aislamiento de comunidades. Se recomienda tomar precauciones.","zonas altoandinas, Sierra sur","['https://www.gob.pe/temas/gestion-del-riesgo', 'https://www.senamhi.gob.pe/Lima/vientos']",qué hacer ante nevadas,"Genera recomendaciones para la población sobre 'qué hacer ante nevadas' considerando que se reporta nevadas en la zona de zonas altoandinas, sierra sur. esto podría causar afectación a cultivos, aislamiento de comunidades. se recomienda tomar precauciones."
4,extrema,"Se reporta incendios forestales en la zona de Selva. Esto podría causar daño ambiental, emisiones de gases. Se recomienda tomar precauciones.",Selva,['https://www.indeci.gob.pe/alertas'],prevención de incendios forestales,"Genera recomendaciones para la población sobre 'prevención de incendios forestales' considerando que se reporta incendios forestales en la zona de selva. esto podría causar daño ambiental, emisiones de gases. se recomienda tomar precauciones."
1,sin peligro,"Se reporta vientos fuertes en la zona de Altiplano. Esto podría causar caída de árboles, daños en techos. Se recomienda tomar precauciones.",Altiplano,"['https://www.essalud.gob.pe/heladas/recomendaciones', 'https://www.gob.pe/temas/gestion-del-riesgo']",prevención ante vientos fuertes,"Genera recomendaciones para la población sobre 'prevención ante vientos fuertes' considerando que se reporta vientos fuertes en la zona de altiplano. esto podría causar caída de árboles, daños en techos. se recomienda tomar precauciones."
4,extrema,Se reporta friaje en la zona de Puno. Esto podría causar enfermedades respiratorias. Se recomienda tomar precauciones.,Puno,"['https://www.essalud.gob.pe/heladas/recomendaciones', 'https://www.senamhi.gob.pe/Lima/vientos']",cuidados durante el friaje,Genera recomendaciones para la población sobre 'cuidados durante el friaje' considerando que se reporta friaje en la zona de puno. esto podría causar enfermedades respiratorias. se recomienda tomar precauciones.
3,fuerte,"Se reporta incendios forestales en la zona de Sierra sur. Esto podría causar emisiones de gases, daño ambiental. Se recomienda tomar precauciones.",Sierra sur,"['https://www.gob.pe/temas/gestion-del-riesgo', 'https://www.essalud.gob.pe/heladas/recomendaciones']",prevención de incendios forestales,"Genera recomendaciones para la población sobre 'prevención de incendios forestales' considerando que se reporta incendios forestales en la zona de sierra sur. esto podría causar emisiones de gases, daño ambiental. se recomienda tomar precauciones."
2,moderada,"Se reporta ola de calor en la zona de Costa norte, Selva. Esto podría causar afectaciones a la salud. Se recomienda tomar precauciones.","Costa norte, Selva","['https://www.gob.pe/temas/gestion-del-riesgo', 'https://www.indeci.gob.pe/alertas']",cómo cuidarse en una ola de calor,"Genera recomendaciones para la población sobre 'cómo cuidarse en una ola de calor' considerando que se reporta ola de calor en la zona de costa norte, selva. esto podría causar afectaciones a la salud. se recomienda tomar precauciones."
4,extrema,"Se reporta oleajes anómalos en la zona de Costa sur, Costa central, Costa norte. Esto podría causar erosión de playas. Se recomienda tomar precauciones.","Costa sur, Costa central, Costa norte","['https://www.senamhi.gob.pe/Lima/vientos', 'https://www.gob.pe/temas/gestion-del-riesgo']",alerta por oleajes,"Genera recomendaciones para la población sobre 'alerta por oleajes' considerando que se reporta oleajes anómalos en la zona de costa sur, costa central, costa norte. esto podría causar erosión de playas. se recomienda tomar precauciones."
3,fuerte,"Se reporta friaje en la zona de Madre de Dios, Puno, Ucayali. Esto podría causar descenso brusco de temperatura. Se recomienda tomar precauciones.","Madre de Dios, Puno, Ucayali","['https://www.gob.pe/temas/gestion-del-riesgo', 'https://www.essalud.gob.pe/heladas/recomendaciones']",cuidados durante el friaje,"Genera recomendaciones para la población sobre 'cuidados durante el friaje' considerando que se reporta friaje en la zona de madre de dios, puno, ucayali. esto podría causar descenso brusco de temperatura. se recomienda tomar precauciones."
1,sin peligro,"Se reporta torbellinos en la zona de Piura. Esto podría causar afectación a cultivos, daños materiales. Se recomienda tomar precauciones.",Piura,['https://www.senamhi.gob.pe/Lima/vientos'],qué hacer ante un torbellino,"Genera recomendaciones para la población sobre 'qué hacer ante un torbellino' considerando que se reporta torbellinos en la zona de piura. esto podría causar afectación a cultivos, daños materiales. se recomienda tomar precauciones."
1,sin peligro,"Se reporta nevadas en la zona de zonas altoandinas, Sierra sur. Esto podría causar afectación a cultivos. Se recomienda tomar precauciones.","zonas altoandinas, Sierra sur",['https://www.gob.pe/temas/gestion-del-riesgo'],qué hacer ante nevadas,"Genera recomendaciones para la población sobre 'qué hacer ante nevadas' considerando que se reporta nevadas en la zona de zonas altoandinas, sierra sur. esto podría causar afectación a cultivos. se recomienda tomar precauciones."
2,moderada,Se reporta lluvias intensas en la zona de Costa norte. Esto podría causar aumento del caudal de ríos. Se recomienda tomar precauciones.,Costa norte,"['https://www.essalud.gob.pe/heladas/recomendaciones', 'https://www.gob.pe/temas/gestion-del-riesgo']",cómo protegerse de lluvias intensas,Genera recomendaciones para la población sobre 'cómo protegerse de lluvias intensas' considerando que se reporta lluvias intensas en la zona de costa norte. esto podría causar aumento del caudal de ríos. se recomienda tomar precauciones.
3,fuerte,"Se reporta incendios forestales en la zona de zonas agrícolas, Selva. Esto podría causar daño ambiental. Se recomienda tomar precauciones.","zonas agrícolas, Selva","['https://www.essalud.gob.pe/heladas/recomendaciones', 'https://www.senamhi.gob.pe/Lima/vientos']",prevención de incendios forestales,"Genera recomendaciones para la población sobre 'prevención de incendios forestales' considerando que se reporta incendios forestales en la zona de zonas agrícolas, selva. esto podría causar daño ambiental. se recomienda tomar precauciones."
1,sin peligro,Se reporta nevadas en la zona de zonas altoandinas. Esto podría causar aislamiento de comunidades. Se recomienda tomar precauciones.,zonas altoandinas,['https://www.senamhi.gob.pe/Lima/vientos'],qué hacer ante nevadas,Genera recomendaciones para la población sobre 'qué hacer ante nevadas' considerando que se reporta nevadas en la zona de zonas altoandinas. esto podría causar aislamiento de comunidades. se recomienda tomar precauciones.
4,extrema,"Se reporta incendios forestales en la zona de Sierra sur. Esto podría causar daño ambiental, emisiones de gases. Se recomienda tomar precauciones.",Sierra sur,['https://www.senamhi.gob.pe/Lima/vientos'],prevención de incendios forestales,"Genera recomendaciones para la población sobre 'prevención de incendios forestales' considerando que se reporta incendios forestales en la zona de sierra sur. esto podría causar daño ambiental, emisiones de gases. se recomienda tomar precauciones."
2,moderada,"Se reporta friaje en la zona de Puno, Ucayali. Esto podría causar descenso brusco de temperatura. Se recomienda tomar precauciones.","Puno, Ucayali","['https://www.essalud.gob.pe/heladas/recomendaciones', 'https://www.senamhi.gob.pe/Lima/vientos']",cuidados durante el friaje,"Genera recomendaciones para la población sobre 'cuidados durante el friaje' considerando que se reporta friaje en la zona de puno, ucayali. esto podría causar descenso brusco de temperatura. se recomienda tomar precauciones."
1,sin peligro,"Se reporta incendios forestales en la zona de Selva, Sierra sur. Esto podría causar emisiones de gases. Se recomienda tomar precauciones.","Selva, Sierra sur",['https://www.indeci.gob.pe/alertas'],prevención de incendios forestales,"Genera recomendaciones para la población sobre 'prevención de incendios forestales' considerando que se reporta incendios forestales en la zona de selva, sierra sur. esto podría causar emisiones de gases. se recomienda tomar precauciones."
3,fuerte,"Se reporta nevadas en la zona de Sierra sur, zonas altoandinas. Esto podría causar afectación a cultivos. Se recomienda tomar precauciones.","Sierra sur, zonas altoandinas",['https://www.essalud.gob.pe/heladas/recomendaciones'],qué hacer ante nevadas,"Genera recomendaciones para la población sobre 'qué hacer ante nevadas' considerando que se reporta nevadas en la zona de sierra sur, zonas altoandinas. esto podría causar afectación a cultivos. se recomienda tomar precauciones."
3,fuerte,"Se reporta ola de calor en la zona de Selva, Costa norte. Esto podría causar sobrecarga energética, afectaciones a la salud. Se recomienda tomar precauciones.","Selva, Costa norte",['https://www.senamhi.gob.pe/Lima/vientos'],cómo cuidarse en una ola de calor,"Genera recomendaciones para la población sobre 'cómo cuidarse en una ola de calor' considerando que se reporta ola de calor en la zona de selva, costa norte. esto podría causar sobrecarga energética, afectaciones a la salud. se recomienda tomar precauciones."
1,sin peligro,Se reporta tormentas eléctricas en la zona de Selva. Esto podría causar incendios forestales. Se recomienda tomar precauciones.,Selva,['https://www.essalud.gob.pe/heladas/recomendaciones'],cómo actuar ante tormentas eléctricas,Genera recomendaciones para la población sobre 'cómo actuar ante tormentas eléctricas' considerando que se reporta tormentas eléctricas en la zona de selva. esto podría causar incendios forestales. se recomienda tomar precauciones.
3,fuerte,"Se reporta vientos fuertes en la zona de zonas andinas. Esto podría causar levantamiento de polvo, daños en techos. Se recomienda tomar precauciones.",zonas andinas,['https://www.essalud.gob.pe/heladas/recomendaciones'],prevención ante vientos fuertes,"Genera recomendaciones para la población sobre 'prevención ante vientos fuertes' considerando que se reporta vientos fuertes en la zona de zonas andinas. esto podría causar levantamiento de polvo, daños en techos. se recomienda tomar precauciones."
4,extrema,"Se reporta oleajes anómalos en la zona de Costa norte, Costa sur. Esto podría causar daños a infraestructuras costeras, erosión de playas. Se recomienda tomar precauciones.","Costa norte, Costa sur","['https://www.senamhi.gob.pe/Lima/vientos', 'https://www.essalud.gob.pe/heladas/recomendaciones']",alerta por oleajes,"Genera recomendaciones para la población sobre 'alerta por oleajes' considerando que se reporta oleajes anómalos en la zona de costa norte, costa sur. esto podría causar daños a infraestructuras costeras, erosión de playas. se recomienda tomar precauciones."
2,moderada,Se reporta nevadas en la zona de Sierra sur. Esto podría causar afectación a cultivos. Se recomienda tomar precauciones.,Sierra sur,['https://www.gob.pe/temas/gestion-del-riesgo'],qué hacer ante nevadas,Genera recomendaciones para la población sobre 'qué hacer ante nevadas' considerando que se reporta nevadas en la zona de sierra sur. esto podría causar afectación a cultivos. se recomienda tomar precauciones.
4,extrema,"Se reporta nevadas en la zona de zonas altoandinas, Sierra sur. Esto podría causar afectación a cultivos, aislamiento de comunidades. Se recomienda tomar precauciones.","zonas altoandinas, Sierra sur","['https://www.senamhi.gob.pe/Lima/vientos', 'https://www.gob.pe/temas/gestion-del-riesgo']",qué hacer ante nevadas,"Genera recomendaciones para la población sobre 'qué hacer ante nevadas' considerando que se reporta nevadas en la zona de zonas altoandinas, sierra sur. esto podría causar afectación a cultivos, aislamiento de comunidades. se recomienda tomar precauciones."
4,extrema,"Se reporta nevadas en la zona de Sierra sur, zonas altoandinas. Esto podría causar afectación a cultivos. Se recomienda tomar precauciones.","Sierra sur, zonas altoandinas","['https://www.gob.pe/temas/gestion-del-riesgo', 'https://www.senamhi.gob.pe/Lima/vientos']",qué hacer ante nevadas,"Genera recomendaciones para la población sobre 'qué hacer ante nevadas' considerando que se reporta nevadas en la zona de sierra sur, zonas altoandinas. esto podría causar afectación a cultivos. se recomienda tomar precauciones."
4,extrema,"Se reporta vientos fuertes en la zona de zonas costeras. Esto podría causar daños en techos, levantamiento de polvo, caída de árboles. Se recomienda tomar precauciones.",zonas costeras,['https://www.senamhi.gob.pe/Lima/vientos'],prevención ante vientos fuertes,"Genera recomendaciones para la población sobre 'prevención ante vientos fuertes' considerando que se reporta vientos fuertes en la zona de zonas costeras. esto podría causar daños en techos, levantamiento de polvo, caída de árboles. se recomienda tomar precauciones."
4,extrema,"Se reporta torbellinos en la zona de Piura, Tumbes. Esto podría causar afectación a cultivos, daños materiales. Se recomienda tomar precauciones.","Piura, Tumbes","['https://www.indeci.gob.pe/alertas', 'https://www.senamhi.gob.pe/Lima/vientos']",qué hacer ante un torbellino,"Genera recomendaciones para la población sobre 'qué hacer ante un torbellino' considerando que se reporta torbellinos en la zona de piura, tumbes. esto podría causar afectación a cultivos, daños materiales. se recomienda tomar precauciones."
1,sin peligro,Se reporta torbellinos en la zona de Tumbes. Esto podría causar daños materiales. Se recomienda tomar precauciones.,Tumbes,"['https://www.essalud.gob.pe/heladas/recomendaciones', 'https://www.gob.pe/temas/gestion-del-riesgo']",qué hacer ante un torbellino,Genera recomendaciones para la población sobre 'qué hacer ante un torbellino' considerando que se reporta torbellinos en la zona de tumbes. esto podría causar daños materiales. se recomienda tomar precauciones.
4,extrema,"Se reporta oleajes anómalos en la zona de Costa norte, Costa central. Esto podría causar daños a infraestructuras costeras, erosión de playas. Se recomienda tomar precauciones.","Costa norte, Costa central","['https://www.senamhi.gob.pe/Lima/vientos', 'https://www.essalud.gob.pe/heladas/recomendaciones']",alerta por oleajes,"Genera recomendaciones para la población sobre 'alerta por oleajes' considerando que se reporta oleajes anómalos en la zona de costa norte, costa central. esto podría causar daños a infraestructuras costeras, erosión de playas. se recomienda tomar precauciones."
2,moderada,"Se reporta vientos fuertes en la zona de zonas andinas, Altiplano. Esto podría causar levantamiento de polvo. Se recomienda tomar precauciones.","zonas andinas, Altiplano","['https://www.gob.pe/temas/gestion-del-riesgo', 'https://www.indeci.gob.pe/alertas']",prevención ante vientos fuertes,"Genera recomendaciones para la población sobre 'prevención ante vientos fuertes' considerando que se reporta vientos fuertes en la zona de zonas andinas, altiplano. esto podría causar levantamiento de polvo. se recomienda tomar precauciones."
1,sin peligro,"Se reporta oleajes anómalos en la zona de Costa sur. Esto podría causar erosión de playas, daños a infraestructuras costeras. Se recomienda tomar precauciones.",Costa sur,"['https://www.essalud.gob.pe/heladas/recomendaciones', 'https://www.gob.pe/temas/gestion-del-riesgo']",alerta por oleajes,"Genera recomendaciones para la población sobre 'alerta por oleajes' considerando que se reporta oleajes anómalos en la zona de costa sur. esto podría causar erosión de playas, daños a infraestructuras costeras. se recomienda tomar precauciones."
1,sin peligro,"Se reporta tormentas eléctricas en la zona de Sierra oriental, Selva. Esto podría causar incendios forestales, daños eléctricos. Se recomienda tomar precauciones.","Sierra oriental, Selva",['https://www.gob.pe/temas/gestion-del-riesgo'],cómo actuar ante tormentas eléctricas,"Genera recomendaciones para la población sobre 'cómo actuar ante tormentas eléctricas' considerando que se reporta tormentas eléctricas en la zona de sierra oriental, selva. esto podría causar incendios forestales, daños eléctricos. se recomienda tomar precauciones."
2,moderada,"Se reporta torbellinos en la zona de Tumbes, Piura. Esto podría causar afectación a cultivos, daños materiales. Se recomienda tomar precauciones.","Tumbes, Piura","['https://www.essalud.gob.pe/heladas/recomendaciones', 'https://www.indeci.gob.pe/alertas']",qué hacer ante un torbellino,"Genera recomendaciones para la población sobre 'qué hacer ante un torbellino' considerando que se reporta torbellinos en la zona de tumbes, piura. esto podría causar afectación a cultivos, daños materiales. se recomienda tomar precauciones."
3,fuerte,"Se reporta torbellinos en la zona de Piura, Tumbes. Esto podría causar daños materiales, afectación a cultivos. Se recomienda tomar precauciones.","Piura, Tumbes",['https://www.gob.pe/temas/gestion-del-riesgo'],qué hacer ante un torbellino,"Genera recomendaciones para la población sobre 'qué hacer ante un torbellino' considerando que se reporta torbellinos en la zona de piura, tumbes. esto podría causar daños materiales, afectación a cultivos. se recomienda tomar precauciones."
4,extrema,"Se reporta oleajes anómalos en la zona de Costa sur. Esto podría causar erosión de playas, daños a infraestructuras costeras. Se recomienda tomar precauciones.",Costa sur,"['https://www.gob.pe/temas/gestion-del-riesgo', 'https://www.essalud.gob.pe/heladas/recomendaciones']",alerta por oleajes,"Genera recomendaciones para la población sobre 'alerta por oleajes' considerando que se reporta oleajes anómalos en la zona de costa sur. esto podría causar erosión de playas, daños a infraestructuras costeras. se recomienda tomar precauciones."
3,fuerte,"Se reporta oleajes anómalos en la zona de Costa norte, Costa sur. Esto podría causar erosión de playas. Se recomienda tomar precauciones.","Costa norte, Costa sur",['https://www.indeci.gob.pe/alertas'],alerta por oleajes,"Genera recomendaciones para la población sobre 'alerta por oleajes' considerando que se reporta oleajes anómalos en la zona de costa norte, costa sur. esto podría causar erosión de playas. se recomienda tomar precauciones."
1,sin peligro,"Se reporta lluvias intensas en la zona de Sierra. Esto podría causar inundaciones, huaicos. Se recomienda tomar precauciones.",Sierra,"['https://www.essalud.gob.pe/heladas/recomendaciones', 'https://www.gob.pe/temas/gestion-del-riesgo']",cómo protegerse de lluvias intensas,"Genera recomendaciones para la población sobre 'cómo protegerse de lluvias intensas' considerando que se reporta lluvias intensas en la zona de sierra. esto podría causar inundaciones, huaicos. se recomienda tomar precauciones."
2,moderada,"Se reporta incendios forestales en la zona de Sierra sur. Esto podría causar daño ambiental, emisiones de gases. Se recomienda tomar precauciones.",Sierra sur,['https://www.gob.pe/temas/gestion-del-riesgo'],prevención de incendios forestales,"Genera recomendaciones para la población sobre 'prevención de incendios forestales' considerando que se reporta incendios forestales en la zona de sierra sur. esto podría causar daño ambiental, emisiones de gases. se recomienda tomar precauciones."
1,sin peligro,"Se reporta oleajes anómalos en la zona de Costa central. Esto podría causar daños a infraestructuras costeras, erosión de playas. Se recomienda tomar precauciones.",Costa central,"['https://www.indeci.gob.pe/alertas', 'https://www.gob.pe/temas/gestion-del-riesgo']",alerta por oleajes,"Genera recomendaciones para la población sobre 'alerta por oleajes' considerando que se reporta oleajes anómalos en la zona de costa central. esto podría causar daños a infraestructuras costeras, erosión de playas. se recomienda tomar precauciones."
2,moderada,Se reporta nevadas en la zona de zonas altoandinas. Esto podría causar aislamiento de comunidades. Se recomienda tomar precauciones.,zonas altoandinas,['https://www.essalud.gob.pe/heladas/recomendaciones'],qué hacer ante nevadas,Genera recomendaciones para la población sobre 'qué hacer ante nevadas' considerando que se reporta nevadas en la zona de zonas altoandinas. esto podría causar aislamiento de comunidades. se recomienda tomar precauciones.
3,fuerte,"Se reporta torbellinos en la zona de Piura. Esto podría causar daños materiales, afectación a cultivos. Se recomienda tomar precauciones.",Piura,['https://www.gob.pe/temas/gestion-del-riesgo'],qué hacer ante un torbellino,"Genera recomendaciones para la población sobre 'qué hacer ante un torbellino' considerando que se reporta torbellinos en la zona de piura. esto podría causar daños materiales, afectación a cultivos. se recomienda tomar precauciones."
1,sin peligro,Se reporta nevadas en la zona de Sierra sur. Esto podría causar afectación a cultivos. Se recomienda tomar precauciones.,Sierra sur,['https://www.senamhi.gob.pe/Lima/vientos'],qué hacer ante nevadas,Genera recomendaciones para la población sobre 'qué hacer ante nevadas' considerando que se reporta nevadas en la zona de sierra sur. esto podría causar afectación a cultivos. se recomienda tomar precauciones.
1,sin peligro,"Se reporta friaje en la zona de Puno, Madre de Dios, Ucayali. Esto podría causar enfermedades respiratorias. Se recomienda tomar precauciones.","Puno, Madre de Dios, Ucayali","['https://www.senamhi.gob.pe/Lima/vientos', 'https://www.essalud.gob.pe/heladas/recomendaciones']",cuidados durante el friaje,"Genera recomendaciones para la población sobre 'cuidados durante el friaje' considerando que se reporta friaje en la zona de puno, madre de dios, ucayali. esto podría causar enfermedades respiratorias. se recomienda tomar precauciones."
3,fuerte,Se reporta heladas en la zona de Sierra sur. Esto podría causar problemas respiratorios. Se recomienda tomar precauciones.,Sierra sur,['https://www.essalud.gob.pe/heladas/recomendaciones'],cómo enfrentar las heladas,Genera recomendaciones para la población sobre 'cómo enfrentar las heladas' considerando que se reporta heladas en la zona de sierra sur. esto podría causar problemas respiratorios. se recomienda tomar precauciones.
1,sin peligro,"Se reporta tormentas eléctricas en la zona de Sierra oriental. Esto podría causar daños eléctricos, incendios forestales. Se recomienda tomar precauciones.",Sierra oriental,['https://www.gob.pe/temas/gestion-del-riesgo'],cómo actuar ante tormentas eléctricas,"Genera recomendaciones para la población sobre 'cómo actuar ante tormentas eléctricas' considerando que se reporta tormentas eléctricas en la zona de sierra oriental. esto podría causar daños eléctricos, incendios forestales. se recomienda tomar precauciones."
1,sin peligro,"Se reporta torbellinos en la zona de Tumbes, Piura. Esto podría causar daños materiales. Se recomienda tomar precauciones.","Tumbes, Piura","['https://www.gob.pe/temas/gestion-del-riesgo', 'https://www.indeci.gob.pe/alertas']",qué hacer ante un torbellino,"Genera recomendaciones para la población sobre 'qué hacer ante un torbellino' considerando que se reporta torbellinos en la zona de tumbes, piura. esto podría causar daños materiales. se recomienda tomar precauciones."
1,sin peligro,"Se reporta torbellinos en la zona de Piura. Esto podría causar afectación a cultivos, daños materiales. Se recomienda tomar precauciones.",Piura,"['https://www.gob.pe/temas/gestion-del-riesgo', 'https://www.indeci.gob.pe/alertas']",qué hacer ante un torbellino,"Genera recomendaciones para la población sobre 'qué hacer ante un torbellino' considerando que se reporta torbellinos en la zona de piura. esto podría causar afectación a cultivos, daños materiales. se recomienda tomar precauciones."
2,moderada,"Se reporta oleajes anómalos en la zona de Costa central. Esto podría causar daños a infraestructuras costeras, erosión de playas. Se recomienda tomar precauciones.",Costa central,['https://www.senamhi.gob.pe/Lima/vientos'],alerta por oleajes,"Genera recomendaciones para la población sobre 'alerta por oleajes' considerando que se reporta oleajes anómalos en la zona de costa central. esto podría causar daños a infraestructuras costeras, erosión de playas. se recomienda tomar precauciones."
1,sin peligro,Se reporta vientos fuertes en la zona de zonas andinas. Esto podría causar daños en techos. Se recomienda tomar precauciones.,zonas andinas,"['https://www.essalud.gob.pe/heladas/recomendaciones', 'https://www.indeci.gob.pe/alertas']",prevención ante vientos fuertes,Genera recomendaciones para la población sobre 'prevención ante vientos fuertes' considerando que se reporta vientos fuertes en la zona de zonas andinas. esto podría causar daños en techos. se recomienda tomar precauciones.
